route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
L,B20130803WKD,B20130803WKD_091700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_087800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_092200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_088300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_092700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_088800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_093200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_089300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_093700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_089800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_094200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_090300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_094700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_090800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_095200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_091300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_095700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_091800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_096200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_092300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_096700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
